sentence|card
Cabbage, comprising several cultivars of Brassica oleracea, is a leafy green, red (purple), or white (pale green) biennial plant grown as an annual vegetable crop for its dense-leaved heads|cabbage
It is descended from the wild cabbage (B|cabbage
oleracea var|cabbage
"oleracea), and belongs to the ""cole crops"" or brassicas, meaning it is closely related to broccoli and cauliflower (var"|cabbage
botrytis); Brussels sprouts (var|cabbage
gemmifera); and Savoy cabbage (var|cabbage
sabauda).|cabbage
A cabbage generally weighs between 500 to 1,000 grams (1 to 2 lb)|cabbage
Smooth-leafed, firm-headed green cabbages are the most common, with smooth-leafed purple cabbages and crinkle-leafed savoy cabbages of both colours being rarer|cabbage
Under conditions of long sunny days, such as those found at high northern latitudes in summer, cabbages can grow quite large|cabbage
As of 2012, the heaviest cabbage was 62.71 kilograms (138 lb 4 oz)|cabbage
Cabbage heads are generally picked during the first year of the plant's life cycle, but plants intended for seed are allowed to grow a second year and must be kept separate from other cole crops to prevent cross-pollination|cabbage
Cabbage is prone to several nutrient deficiencies, as well as to multiple pests, and bacterial and fungal diseases.|cabbage
Cabbage was most likely domesticated somewhere in Europe before 1000 BC, although savoys were not developed until the 16th century AD|cabbage
By the Middle Ages, cabbage had become a prominent part of European cuisine|cabbage
They can be prepared many different ways for eating; they can be pickled, fermented (for dishes such as sauerkraut), steamed, stewed, sautéed, braised, or eaten raw|cabbage
Cabbage is a good source of vitamin K, vitamin C and dietary fiber|cabbage
World production of cabbage and other brassicas for 2018 was 69 million tonnes, and China accounts for 48% of the total.|cabbage
Cabbage (Brassica oleracea or B|cabbage
oleracea var|cabbage
capitata, var|cabbage
tuba, var|cabbage
sabauda or var|cabbage
acephala) is a member of the genus Brassica and the mustard family, Brassicaceae|cabbage
Several other cruciferous vegetables (sometimes known as cole crops) are cultivars of B|cabbage
oleracea, including broccoli, collard greens, brussels sprouts, kohlrabi and sprouting broccoli|cabbage
All of these developed from the wild cabbage B|cabbage
oleracea var|cabbage
oleracea, also called colewort or field cabbage|cabbage
"This original species evolved over thousands of years into those seen today, as selection resulted in cultivars having different characteristics, such as large heads for cabbage, large leaves for kale and thick stems with flower buds for broccoli.The varietal epithet capitata is derived from the Latin word for ""having a head"".""Cabbage"" was originally used to refer to multiple forms of B"|cabbage
oleracea, including those with loose or non-existent heads|cabbage
A related species, Brassica rapa, is commonly named Chinese, napa or celery cabbage, and has many of the same uses|cabbage
It is also a part of common names for several unrelated species|cabbage
These include cabbage bark or cabbage tree (a member of the genus Andira) and cabbage palms, which include several genera of palms such as Mauritia, Roystonea oleracea, Acrocomia and Euterpe oenocarpus.The original family name of brassicas was Cruciferae, which derived from the flower petal pattern thought by medieval Europeans to resemble a crucifix|cabbage
The word brassica derives from bresic, a Celtic word for cabbage|cabbage
"Many European and Asiatic names for cabbage are derived from the Celto-Slavic root cap or kap, meaning ""head"""|cabbage
"The late Middle English word cabbage derives from the word caboche (""head""), from the Picard dialect of Old French"|cabbage
This in turn is a variant of the Old French caboce|cabbage
"Through the centuries, ""cabbage"" and its derivatives have been used as slang for numerous items, occupations and activities"|cabbage
"Cash and tobacco have both been described by the slang ""cabbage"", while ""cabbage-head"" means a fool or stupid person and ""cabbaged"" means to be exhausted or, vulgarly, in a vegetative state."|cabbage
Cabbage seedlings have a thin taproot and cordate (heart-shaped) cotyledons|cabbage
The first leaves produced are ovate (egg-shaped) with a lobed petiole|cabbage
Plants are 40–60 cm (16–24 in) tall in their first year at the mature vegetative stage, and 1.5–2.0 m (4 ft 11 in–6 ft 7 in) tall when flowering in the second year|cabbage
Heads average between 0.5 and 4 kg (1 and 8 lb), with fast-growing, earlier-maturing varieties producing smaller heads|cabbage
Most cabbages have thick, alternating leaves, with margins that range from wavy or lobed to highly dissected; some varieties have a waxy bloom on the leaves|cabbage
Plants have root systems that are fibrous and shallow|cabbage
About 90 percent of the root mass is in the upper 20–30 cm (8–12 in) of soil; some lateral roots can penetrate up to 2 m (6 ft 7 in) deep.The inflorescence is an unbranched and indeterminate terminal raceme measuring 50–100 cm (20–40 in) tall, with flowers that are yellow or white|cabbage
Each flower has four petals set in a perpendicular pattern, as well as four sepals, six stamens, and a superior ovary that is two-celled and contains a single stigma and style|cabbage
Two of the six stamens have shorter filaments|cabbage
The fruit is a silique that opens at maturity through dehiscence to reveal brown or black seeds that are small and round in shape|cabbage
Self-pollination is impossible, and plants are cross-pollinated by insects|cabbage
The initial leaves form a rosette shape comprising 7 to 15 leaves, each measuring 25–35 cm (10–14 in) by 20–30 cm (8–12 in); after this, leaves with shorter petioles develop and heads form through the leaves cupping inward.Many shapes, colors and leaf textures are found in various cultivated varieties of cabbage|cabbage
Leaf types are generally divided between crinkled-leaf, loose-head savoys and smooth-leaf firm-head cabbages, while the color spectrum includes white and a range of greens and purples|cabbage
Oblate, round and pointed shapes are found.Cabbage has been selectively bred for head weight and morphological characteristics, frost hardiness, fast growth and storage ability|cabbage
The appearance of the cabbage head has been given importance in selective breeding, with varieties being chosen for shape, color, firmness and other physical characteristics|cabbage
Breeding objectives are now focused on increasing resistance to various insects and diseases and improving the nutritional content of cabbage|cabbage
Scientific research into the genetic modification of B|cabbage
oleracea crops, including cabbage, has included European Union and United States explorations of greater insect and herbicide resistance.There are several Guinness Book of World Records entries related to cabbage|cabbage
These include the heaviest cabbage, at 62.71 kg (138 lb 4 oz), heaviest red cabbage, at 31.6 kilograms (69 lb 11 oz), longest cabbage roll, at 19.54 m (64 ft 1+1⁄2 in), and the largest cabbage dish, at 2,960 kg (6,526 lb).|cabbage
"Although cabbage has an extensive history, it is difficult to trace its exact origins owing to the many varieties of leafy greens classified as ""brassicas"""|cabbage
A possible wild ancestor of cabbage, Brassica oleracea, originally found in Britain and continental Europe, is tolerant of salt but not encroachment by other plants and consequently inhabits rocky cliffs in cool damp coastal habitats, retaining water and nutrients in its slightly thickened, turgid leaves|cabbage
However, genetic analysis is consistent with feral origin of this population, deriving from plants escaped from field and gardens|cabbage
According to the triangle of U theory of the evolution and relationships between Brassica species, B|cabbage
oleracea and other closely related kale vegetables (cabbages, kale, broccoli, Brussels sprouts, and cauliflower) represent one of three ancestral lines from which all other brassicas originated.Cabbage was probably domesticated later in history than Near Eastern crops such as lentils and summer wheat|cabbage
Because of the wide range of crops developed from the wild B|cabbage
oleracea, multiple broadly contemporaneous domestications of cabbage may have occurred throughout Europe|cabbage
"Nonheading cabbages and kale were probably the first to be domesticated, before 1000 BC, perhaps by the Celts of central and western Europe, although recent linguistic and genetic evidence enforces a Mediterranean origin of cultivated brassicas.While unidentified brassicas were part of the highly conservative unchanging Mesopotamian garden repertory, it is believed that the ancient Egyptians did not cultivate cabbage, which is not native to the Nile valley, though the word shaw't in Papyrus Harris of the time of Ramesses III has been interpreted as ""cabbage"""|cabbage
The ancient Greeks had some varieties of cabbage, as mentioned by Theophrastus, although whether they were more closely related to today's cabbage or to one of the other Brassica crops is unknown|cabbage
The headed cabbage variety was known to the Greeks as krambe and to the Romans as brassica or olus; the open, leafy variety (kale) was known in Greek as raphanos and in Latin as caulis|cabbage
Ptolemaic Egyptians knew the cole crops as gramb, under the influence of Greek krambe, which had been a familiar plant to the Macedonian antecedents of the Ptolemies|cabbage
By early Roman times, Egyptian artisans and children were eating cabbage and turnips among a wide variety of other vegetables and pulses.Chrysippus of Cnidos wrote a treatise on cabbage, which Pliny knew, but it has not survived|cabbage
The Greeks were convinced that cabbages and grapevines were inimical, and that cabbage planted too near the vine would impart its unwelcome odor to the grapes; this Mediterranean sense of antipathy survives today.Brassica was considered by some Romans a table luxury,  although Lucullus considered it unfit for the senatorial table|cabbage
The more traditionalist Cato the Elder, espousing a simple Republican life, ate his cabbage cooked or raw and dressed with vinegar; he said it surpassed all other vegetables, and approvingly distinguished three varieties; he also gave directions for its medicinal use, which extended to the cabbage-eater's urine, in which infants might be rinsed|cabbage
"Pliny the Elder listed seven varieties, including Pompeii cabbage, Cumae cabbage and Sabellian cabbage.According to Pliny, the Pompeii cabbage, which could not stand cold, is ""taller, and has a thick stock near the root, but grows thicker between the leaves, these being scantier and narrower, but their tenderness is a valuable quality"""|cabbage
The Pompeii cabbage was also mentioned by Columella in De Re Rustica|cabbage
Apicius gives several recipes for cauliculi, tender cabbage shoots|cabbage
The Greeks and Romans claimed medicinal usages for their cabbage varieties that included relief from gout, headaches and the symptoms of poisonous mushroom ingestion.The antipathy towards the vine made it seem that eating cabbage would enable one to avoid drunkenness|cabbage
Cabbage continued to figure in the materia medica of antiquity as well as at table|cabbage
in the first century AD Dioscorides mentions two kinds of coleworts with medical uses, the cultivated and the wild, and his opinions continued to be paraphrased in herbals right through the 17th century.|cabbage
"At the end of Antiquity cabbage is mentioned in De observatione ciborum (""On the Observance of Foods"") by Anthimus, a Greek doctor at the court of Theodoric the Great"|cabbage
Cabbage appears among vegetables directed to be cultivated in the Capitulare de villis, composed in 771–800 AD, that guided the governance of the royal estates of Charlemagne.|cabbage
In Britain, the Anglo-Saxons cultivated cawel|cabbage
"When round-headed cabbages appeared in 14th-century England they were called cabaches and caboches, words drawn from Old French and applied at first to refer to the ball of unopened leaves,  the contemporaneous recipe that commences ""Take cabbages and quarter them, and seethe them in good broth"", also suggests the tightly headed cabbage."|cabbage
Manuscript illuminations show the prominence of cabbage in the cuisine of the High Middle Ages,  and cabbage seeds feature among the seed list of purchases for the use of King John II of France when captive in England in 1360, but cabbages were also a familiar staple of the poor|cabbage
"in the lean year of 1420 the ""Bourgeois of Paris"" noted that ""poor people ate no bread, nothing but cabbages and turnips and such dishes, without any bread or salt"""|cabbage
"French naturalist Jean Ruel made what is considered the first explicit mention of head cabbage in his 1536 botanical treatise De Natura Stirpium, referring to it as capucos coles (""head-coles"").In Istanbul, Sultan Selim III penned a tongue-in-cheek ode to cabbage"|cabbage
without cabbage, the halva feast was not complete|cabbage
In India, cabbage was one of several vegetable crops introduced by colonizing traders from Portugal, who established trade routes from the 14th to 17th centuries|cabbage
Carl Peter Thunberg reported that cabbage was not yet known in Japan in 1775.Many cabbage varieties—including some still commonly grown—were introduced in Germany, France, and the Low Countries|cabbage
During the 16th century, German gardeners developed the savoy cabbage|cabbage
During the 17th and 18th centuries, cabbage was a food staple in such countries as Germany, England, Ireland and Russia, and pickled cabbage was frequently eaten|cabbage
Sauerkraut was used by Dutch, Scandinavian and German sailors to prevent scurvy during long ship voyages.Jacques Cartier first brought cabbage to the Americas in 1541–42, and it was probably planted by the early English colonists, despite the lack of written evidence of its existence there until the mid-17th century|cabbage
By the 18th century, it was commonly planted by both colonists and native American Indians|cabbage
Cabbage seeds traveled to Australia in 1788 with the First Fleet, and were planted the same year on Norfolk Island|cabbage
It became a favorite vegetable of Australians by the 1830s and was frequently seen at the Sydney Markets.|cabbage
An traditional and very old, street, open air market|cabbage
Zelný trh (Cabbage market) in Brno, Moravia, Czech republic is named only by cabbage since 1325 (700 year) years.|cabbage
Cabbage is generally grown for its densely leaved heads, produced during the first year of its biennial cycle|cabbage
Plants perform best when grown in well-drained soil in a location that receives full sun|cabbage
Different varieties prefer different soil types, ranging from lighter sand to heavier clay, but all prefer fertile ground with a pH between 6.0 and 6.8|cabbage
For optimal growth, there must be adequate levels of nitrogen in the soil, especially during the early head formation stage, and sufficient phosphorus and potassium during the early stages of expansion of the outer leaves.Temperatures between 4 and 24 °C (39 and 75 °F) prompt the best growth, and extended periods of higher or lower temperatures may result in premature bolting (flowering)|cabbage
Flowering induced by periods of low temperatures (a process called vernalization) only occurs if the plant is past the juvenile period|cabbage
The transition from a juvenile to adult state happens when the stem diameter is about 6 mm (1⁄4 in)|cabbage
Vernalization allows the plant to grow to an adequate size before flowering|cabbage
In certain climates, cabbage can be planted at the beginning of the cold period and survive until a later warm period without being induced to flower, a practice that was common in the eastern US.|cabbage
Plants are generally started in protected locations early in the growing season before being transplanted outside, although some are seeded directly into the ground from which they will be harvested|cabbage
Seedlings typically emerge in about 4–6 days from seeds planted 13 mm (1⁄2 in) deep at a soil temperature between 20 and 30 °C (68 and 86 °F)|cabbage
Growers normally place plants 30 to 61 cm (12 to 24 in) apart|cabbage
"Closer spacing reduces the resources available to each plant (especially the amount of light) and increases the time taken to reach maturity.Some varieties of cabbage have been developed for ornamental use; these are generally called ""flowering cabbage"""|cabbage
They do not produce heads and feature purple or green outer leaves surrounding an inner grouping of smaller leaves in white, red, or pink|cabbage
Early varieties of cabbage take about 70 days from planting to reach maturity, while late varieties take about 120 days.Cabbages are mature when they are firm and solid to the touch|cabbage
They are harvested by cutting the stalk just below the bottom leaves with a blade|cabbage
The outer leaves are trimmed, and any diseased, damaged, or necrotic leaves are removed|cabbage
Delays in harvest can result in the head splitting as a result of expansion of the inner leaves and continued stem growth.When being grown for seed, cabbages must be isolated from other B|cabbage
oleracea subspecies, including the wild varieties, by 0.8 to 1.6 km (1⁄2 to 1 mi) to prevent cross-pollination|cabbage
Other Brassica species, such as B|cabbage
rapa, B|cabbage
juncea, B|cabbage
nigra, B|cabbage
napus and Raphanus sativus, do not readily cross-pollinate.|cabbage
White, also called Dutch – Smooth, pale green leavesSome sources only delineate three cultivars|cabbage
savoy, red and white, with spring greens and green cabbage being subsumed under the last.|cabbage
Due to its high level of nutrient requirements, cabbage is prone to nutrient deficiencies, including boron, calcium, phosphorus and potassium|cabbage
There are several physiological disorders that can affect the postharvest appearance of cabbage|cabbage
Internal tip burn occurs when the margins of inside leaves turn brown, but the outer leaves look normal|cabbage
Necrotic spot is where there are oval sunken spots a few millimeters across that are often grouped around the midrib|cabbage
In pepper spot, tiny black spots occur on the areas between the veins, which can increase during storage.Fungal diseases include wirestem, which causes weak or dying transplants; Fusarium yellows, which result in stunted and twisted plants with yellow leaves; and blackleg (see Leptosphaeria maculans), which leads to sunken areas on stems and gray-brown spotted leaves|cabbage
The fungi Alternaria brassicae and A|cabbage
brassicicola cause dark leaf spots in affected plants|cabbage
They are both seedborne and airborne, and typically propagate from spores in infected plant debris left on the soil surface for up to twelve weeks after harvest|cabbage
"Rhizoctonia solani causes the post-emergence disease wirestem, resulting in killed seedlings (""damping-off""), root rot or stunted growth and smaller heads."|cabbage
One of the most common bacterial diseases to affect cabbage is black rot, caused by  Xanthomonas campestris, which causes chlorotic and necrotic lesions that start at the leaf margins, and wilting of plants|cabbage
Clubroot, caused by the soilborne slime mold-like organism Plasmodiophora brassicae, results in swollen, club-like roots|cabbage
Downy mildew, a parasitic disease caused by the oomycete Peronospora parasitica, produces pale leaves with white, brownish or olive mildew on the lower leaf surfaces; this is often confused with the fungal disease powdery mildew.Pests include root-knot nematodes and cabbage maggots, which produce stunted and wilted plants with yellow leaves; aphids, which induce stunted plants with curled and yellow leaves; harlequin cabbage bugs, which cause white and yellow leaves; thrips, which lead to leaves with white-bronze spots; striped flea beetles, which riddle leaves with small holes; and caterpillars, which leave behind large, ragged holes in leaves|cabbage
"The caterpillar stage of the ""small cabbage white butterfly"" (Pieris rapae), commonly known in the United States as the ""imported cabbage worm"", is a major cabbage pest in most countries.The large white butterfly (Pieris brassicae) is prevalent in eastern European countries"|cabbage
The diamondback moth (Plutella xylostella) and the cabbage moth (Mamestra brassicae) thrive in the higher summer temperatures of continental Europe, where they cause considerable damage to cabbage crops|cabbage
The cabbage looper (Trichoplusia ni) is infamous in North America for its voracious appetite and for producing frass that contaminates plants|cabbage
In India, the diamondback moth has caused losses up to 90 percent in crops that were not treated with insecticide|cabbage
Destructive soil insects include the cabbage root fly (Delia radicum) and the cabbage maggot (Hylemya brassicae), whose larvae can burrow into the part of plant consumed by humans.Planting near other members of the cabbage family, or where these plants have been placed in previous years, can prompt the spread of pests and disease|cabbage
Excessive water and excessive heat can also cause cultivation problems.Factors that contribute to reduced head weight include|cabbage
growth in the compacted soils that result from no-till farming practices, drought, waterlogging, insect and disease incidence, and shading and nutrient stress caused by weeds.|cabbage
In 2018, world production of cabbages (combined with other brassicas) was 69.4 million tonnes, led by China with 48% of the world total (table)|cabbage
Other major producers were India, South Korea, and Russia.|cabbage
Cabbages sold for market are generally smaller, and different varieties are used for those sold immediately upon harvest and those stored before sale|cabbage
Those used for processing, especially sauerkraut, are larger and have a lower percentage of water|cabbage
Both hand and mechanical harvesting are used, and hand-harvesting is generally used for cabbages destined for market sales|cabbage
In commercial-scale operations, hand-harvested cabbages are trimmed, sorted, and packed directly in the field to increase efficiency.Vacuum cooling rapidly refrigerates the vegetable, allowing for earlier shipping and a fresher product|cabbage
Cabbage can be stored the longest at −1 to 2 °C (30 to 36 °F) with a humidity of 90–100 percent; these conditions will result in up to six months of longevity|cabbage
When stored under less ideal conditions, cabbage can still last up to four months.|cabbage
Cabbage consumption varies widely around the world|cabbage
Russia has the highest annual per capita consumption at 20 kg (44 lb), followed by Belgium at 4.7 kg (10 lb 6 oz) and the Netherlands at 4.0 kg (8 lb 13 oz)|cabbage
Americans consume 3.9 kg (8.6 lb) annually per capita.|cabbage
Cabbage is prepared and consumed in many ways|cabbage
The simplest options include eating the vegetable raw or steaming it, though many cuisines pickle, stew, sautée or braise cabbage|cabbage
Pickling is a common way of preserving cabbage, creating dishes such as sauerkraut and kimchi, although kimchi is more often made from Chinese cabbage (B|cabbage
rapa subsp|cabbage
pekinensis)|cabbage
Savoy cabbages are usually used in salads, while smooth-leaf types are utilized for both market sales and processing|cabbage
Bean curd and cabbage is a staple of Chinese cooking, while the British dish bubble and squeak is made primarily with leftover potato and boiled cabbage and eaten with cold meat.In Poland, cabbage is one of the main food crops, and it features prominently in Polish cuisine|cabbage
It is frequently eaten, either cooked or as sauerkraut, as a side dish or as an ingredient in such dishes as bigos (cabbage, sauerkraut, meat, and wild mushrooms, among other ingredients) gołąbki (stuffed cabbage) and pierogi (filled dumplings)|cabbage
Other eastern European countries, such as Hungary and Romania, also have traditional dishes that feature cabbage as a main ingredient|cabbage
In India and Ethiopia, cabbage is often included in spicy salads and braises|cabbage
In the United States, cabbage is used primarily for the production of coleslaw, followed by market use and sauerkraut production.|cabbage
The characteristic flavor of cabbage is caused by glucosinolates, a class of sulfur-containing glucosides|cabbage
Although found throughout the plant, these compounds are concentrated in the highest quantities in the seeds; lesser quantities are found in young vegetative tissue, and they decrease as the tissue ages|cabbage
Cooked cabbage is often criticized for its pungent, unpleasant odor and taste|cabbage
These develop when cabbage is overcooked and hydrogen sulfide gas is produced.|cabbage
Raw cabbage is 92% water, 6% carbohydrates, 1% protein, and contains negligible fat (table)|cabbage
In a 100 gram reference amount, raw cabbage is a rich source of vitamin C and vitamin K, containing 44% and 72%, respectively, of the Daily Value (DV)|cabbage
Cabbage is also a moderate source (10–19% DV) of vitamin B6 and folate, with no other nutrients having significant content per 100-gram serving (table).|cabbage
Basic research on cabbage phytochemicals is ongoing to discern if certain cabbage compounds may affect health or have potential for anti-disease effects, such as sulforaphane and other glucosinolates|cabbage
Studies on cruciferous vegetables, including cabbage, include whether they may lower the risk against colon cancer|cabbage
Cabbage is a source of indole-3-carbinol, a chemical under basic research for its possible properties.|cabbage
In addition to its usual purpose as an edible vegetable, cabbage has been used historically in herbalism|cabbage
The Ancient Greeks recommended consuming the vegetable as a laxative, and used cabbage juice as an antidote for mushroom poisoning, for eye salves, and for liniments for bruises|cabbage
The ancient Roman, Pliny the Elder, described both culinary and medicinal properties of the vegetable|cabbage
Ancient Egyptians ate cooked cabbage at the beginning of meals to reduce the intoxicating effects of wine|cabbage
This traditional usage persisted in European literature until the mid-20th century.The cooling properties of the leaves were used in Britain as a treatment for trench foot in World War I, and as compresses for ulcers and breast abscesses|cabbage
Other medicinal uses recorded in European folk medicine include treatments for rheumatism, sore throat, hoarseness, colic, and melancholy|cabbage
Both mashed cabbage and cabbage juice have been used in poultices to remove boils and treat warts, pneumonia, appendicitis, and ulcers|cabbage
As of 2019, there is no clinical evidence that cabbage has any medicinal properties.|cabbage
Excessive consumption of cabbage may lead to increased intestinal gas which causes bloating and flatulence due to the trisaccharide raffinose, which the human small intestine cannot digest, but is digested by bacteria in the large intestine.Cabbage has been linked to outbreaks of some food-borne illnesses, including Listeria monocytogenes and Clostridium botulinum|cabbage
The latter toxin has been traced to pre-made, packaged coleslaw mixes, while the spores were found on whole cabbages that were otherwise acceptable in appearance|cabbage
Shigella species are able to survive in shredded cabbage|cabbage
Two outbreaks of E|cabbage
coli in the United States have been linked to cabbage consumption|cabbage
Biological risk assessments have concluded that there is the potential for further outbreaks linked to uncooked cabbage, due to contamination at many stages of the growing, harvesting and packaging processes|cabbage
Contaminants from water, humans, animals and soil have the potential to be transferred to cabbage, and from there to the end consumer.Cabbage and other cruciferous vegetables contain small amounts of thiocyanate, a compound associated with goiter formation when iodine intake is deficient.|cabbage
Bradley, Fern Marshall; Ellis, Barbara W.; Martin, Deborah L., eds|cabbage
(2009)|cabbage
The Organic Gardener's Handbook of Natural Pest and Disease Control|cabbage
Rodale, Inc|cabbage
ISBN 978-1-60529-677-7.|cabbage
Dixon, Geoffrey R|cabbage
(2007)|cabbage
Vegetable Brassicas and Related Crucifers|cabbage
Crop Production Science in Horticulture|cabbage
14|cabbage
CAB International|cabbage
ISBN 978-0-85199-395-9.|cabbage
Janick, Jules (2011)|cabbage
Plant Breeding Reviews|cabbage
35|cabbage
John Wiley & Sons|cabbage
ISBN 978-1-118-10049-3.|cabbage
Katz, Solomon H.; Weaver, William Woys (2003)|cabbage
Encyclopedia of Food and Culture|cabbage
2|cabbage
Scribner|cabbage
ISBN 978-0-684-80565-8.|cabbage
Maynard, Donald N.; Hochmuth, George J|cabbage
(2007)|cabbage
Knott's Handbook for Vegetable Growers (5th ed.)|cabbage
Wiley|cabbage
ISBN 978-0-471-73828-2.|cabbage
Ordas, Amando; Cartea, M|cabbage
Elena (2008)|cabbage
"""Cabbage and Kale"""|cabbage
In Prohens, J.; Nuez, F (eds.)|cabbage
Vegetables I|cabbage
Asteraceae, Brassicaceae, Chenopodiaceae, and Cucurbitaceae|cabbage
2|cabbage
Springer|cabbage
ISBN 978-0-387-72291-7.|cabbage
Tannahill, Reay (1973)|cabbage
Food in History|cabbage
Stein and Day|cabbage
ISBN 978-0-8128-1437-8.|cabbage
Toussaint-Samat, Maguelonne (2009)|cabbage
A History of Food (2nd ed.)|cabbage
Wiley-Blackwell|cabbage
ISBN 978-1405181198.|cabbage
Wien, H|cabbage
C.; Wurr, D|cabbage
C|cabbage
E|cabbage
(1997)|cabbage
"""Cauliflower, broccoli, cabbage and brussel sprouts"""|cabbage
In Wien, H|cabbage
C|cabbage
(ed.)|cabbage
The Physiology of Vegetable Crops|cabbage
CAB International|cabbage
ISBN 978-0-85199-146-7.|cabbage
Cabbages and Cauliflowers|cabbage
How to Grow Them by James John Howard Gregory – Project Gutenberg.|cabbage
The radish (Raphanus raphanistrum subsp|radish
sativus) is an edible root vegetable of the family Brassicaceae that was domesticated in Asia prior to Roman times.|radish
Radishes are grown and consumed throughout the world, being mostly eaten raw as a crunchy salad vegetable with a pungent flavor|radish
There are numerous varieties, varying in size, flavor, color, and length of time they take to mature|radish
Radishes owe their sharp flavor to the various chemical compounds produced by the plants, including glucosinolate, myrosinase, and isothiocyanate|radish
They are sometimes grown as companion plants and suffer from few pests and diseases|radish
They germinate quickly and grow rapidly, common smaller varieties being ready for consumption within a month, while larger daikon varieties take several months|radish
Being easy to grow and quick to harvest, radishes are often planted by novice gardeners|radish
Another use of radish is as a cover or catch crop in winter, or as a forage crop|radish
Some radishes are grown for their seeds; others, such as daikon, may be grown for oil production|radish
Others are used for sprouting.|radish
Varieties of radish are now broadly distributed around the world, but almost no archeological records are available to help determine their early history and domestication|radish
However, scientists have tentatively located the origin of Raphanus sativus in Southeast Asia, as this is the only region where truly wild forms have been discovered|radish
India, central China, and Central Asia appear to have been secondary centers where differing forms were developed|radish
Radishes enter the historical record in third century BC|radish
